
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.35312E-009 -0.31542E-008 -0.29539E-009  0.31876E-008 
       3 -0.53102E-009 -0.62524E-008 -0.28557E-009  0.62814E-008 
       4 -0.70892E-009 -0.95419E-008 -0.46708E-009  0.95796E-008 
       5 -0.72147E-009 -0.12527E-007 -0.65503E-009  0.12565E-007 
       6 -0.73401E-009 -0.15384E-007 -0.71562E-009  0.15419E-007 
       7 -0.57797E-009 -0.17613E-007 -0.10935E-008  0.17657E-007 
       8 -0.42194E-009 -0.19427E-007 -0.10568E-008  0.19461E-007 
       9  0.11205E-012 -0.20378E-007 -0.17130E-008  0.20450E-007 
      10  0.42216E-009 -0.19427E-007 -0.10569E-008  0.19461E-007 
      11  0.57819E-009 -0.17613E-007 -0.10937E-008  0.17657E-007 
      12  0.73422E-009 -0.15385E-007 -0.71576E-009  0.15419E-007 
      13  0.72166E-009 -0.12527E-007 -0.65516E-009  0.12565E-007 
      14  0.70909E-009 -0.95419E-008 -0.46722E-009  0.95796E-008 
      15  0.53115E-009 -0.62523E-008 -0.28565E-009  0.62813E-008 
      16  0.35320E-009 -0.31542E-008 -0.29547E-009  0.31876E-008 
      17   0.0000       0.0000       0.0000       0.0000     
      18  0.25143E-008 -0.74901E-010 -0.98874E-010  0.25174E-008 
      19  0.24599E-008 -0.31211E-008 -0.34735E-009  0.39891E-008 
      20  0.24055E-008 -0.62183E-008 -0.54475E-009  0.66896E-008 
      21  0.21778E-008 -0.95119E-008 -0.61647E-009  0.97774E-008 
      22  0.19502E-008 -0.12495E-007 -0.99827E-009  0.12686E-007 
      23  0.15604E-008 -0.15350E-007 -0.94395E-009  0.15458E-007 
      24  0.11705E-008 -0.17592E-007 -0.15019E-008  0.17695E-007 
      25  0.58532E-009 -0.19371E-007 -0.13225E-008  0.19425E-007 
      26  0.13917E-012 -0.20252E-007 -0.23913E-008  0.20393E-007 
      27 -0.58506E-009 -0.19371E-007 -0.13225E-008  0.19425E-007 
      28 -0.11703E-008 -0.17592E-007 -0.15020E-008  0.17695E-007 
      29 -0.15601E-008 -0.15350E-007 -0.94406E-009  0.15458E-007 
      30 -0.19500E-008 -0.12495E-007 -0.99840E-009  0.12686E-007 
      31 -0.21777E-008 -0.95118E-008 -0.61659E-009  0.97774E-008 
      32 -0.24053E-008 -0.62183E-008 -0.54485E-009  0.66895E-008 
      33 -0.24598E-008 -0.31210E-008 -0.34742E-009  0.39890E-008 
      34 -0.25142E-008 -0.74907E-010 -0.98893E-010  0.25172E-008 
      35  0.26718E-008  0.20478E-010 -0.78397E-010  0.26730E-008 
      36  0.26718E-008 -0.29092E-008 -0.31423E-009  0.39624E-008 
      37  0.25292E-008 -0.61236E-008 -0.51069E-009  0.66450E-008 
      38  0.23865E-008 -0.92173E-008 -0.58640E-009  0.95393E-008 
      39  0.20915E-008 -0.12305E-007 -0.96670E-009  0.12518E-007 
      40  0.17964E-008 -0.14954E-007 -0.90927E-009  0.15089E-007 
      41  0.13521E-008 -0.17286E-007 -0.14807E-008  0.17402E-007 
      42  0.90773E-009 -0.18832E-007 -0.12660E-008  0.18897E-007 
      43  0.25574E-012 -0.20002E-007 -0.25145E-008  0.20159E-007 
      44 -0.90737E-009 -0.18832E-007 -0.12660E-008  0.18897E-007 
      45 -0.13518E-008 -0.17286E-007 -0.14808E-008  0.17402E-007 
      46 -0.17962E-008 -0.14954E-007 -0.90938E-009  0.15089E-007 
      47 -0.20913E-008 -0.12305E-007 -0.96682E-009  0.12518E-007 
      48 -0.23864E-008 -0.92172E-008 -0.58651E-009  0.95392E-008 
      49 -0.25290E-008 -0.61236E-008 -0.51078E-009  0.66449E-008 
      50 -0.26717E-008 -0.29091E-008 -0.31429E-009  0.39623E-008 
      51 -0.26717E-008  0.20481E-010 -0.78412E-010  0.26729E-008 
      52   0.0000       0.0000       0.0000       0.0000     
      53 -0.21648E-009 -0.29423E-008 -0.26227E-009  0.29619E-008 
      54 -0.43296E-009 -0.61577E-008 -0.25151E-009  0.61780E-008 
      55 -0.50508E-009 -0.92473E-008 -0.43701E-009  0.92714E-008 
      56 -0.57721E-009 -0.12336E-007 -0.62346E-009  0.12365E-007 
      57 -0.49399E-009 -0.14989E-007 -0.68094E-009  0.15012E-007 
      58 -0.41078E-009 -0.17307E-007 -0.10723E-008  0.17345E-007 
      59 -0.20532E-009 -0.18889E-007 -0.10003E-008  0.18916E-007 
      60  0.14151E-012 -0.19786E-007 -0.16122E-008  0.19852E-007 
      61  0.20559E-009 -0.18889E-007 -0.10004E-008  0.18916E-007 
      62  0.41105E-009 -0.17308E-007 -0.10724E-008  0.17346E-007 
      63  0.49423E-009 -0.14989E-007 -0.68108E-009  0.15012E-007 
      64  0.57741E-009 -0.12336E-007 -0.62358E-009  0.12365E-007 
      65  0.50524E-009 -0.92473E-008 -0.43714E-009  0.92714E-008 
      66  0.43307E-009 -0.61576E-008 -0.25158E-009  0.61780E-008 
      67  0.21653E-009 -0.29423E-008 -0.26234E-009  0.29619E-008 
      68   0.0000       0.0000       0.0000       0.0000     
