
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.32707E-009 -0.29261E-008 -0.28197E-009  0.29578E-008 
       3 -0.48922E-009 -0.58251E-008 -0.23616E-009  0.58503E-008 
       4 -0.65138E-009 -0.88906E-008 -0.35689E-009  0.89216E-008 
       5 -0.64928E-009 -0.11672E-007 -0.46480E-009  0.11699E-007 
       6 -0.64718E-009 -0.14295E-007 -0.41400E-009  0.14315E-007 
       7 -0.48653E-009 -0.16313E-007 -0.66597E-009  0.16334E-007 
       8 -0.32588E-009 -0.17861E-007 -0.44710E-009  0.17870E-007 
       9 -0.52683E-023 -0.18502E-007 -0.86327E-009  0.18522E-007 
      10  0.32588E-009 -0.17861E-007 -0.44710E-009  0.17870E-007 
      11  0.48653E-009 -0.16313E-007 -0.66597E-009  0.16334E-007 
      12  0.64718E-009 -0.14295E-007 -0.41400E-009  0.14315E-007 
      13  0.64928E-009 -0.11672E-007 -0.46480E-009  0.11699E-007 
      14  0.65138E-009 -0.88906E-008 -0.35689E-009  0.89216E-008 
      15  0.48922E-009 -0.58251E-008 -0.23616E-009  0.58503E-008 
      16  0.32707E-009 -0.29261E-008 -0.28197E-009  0.29578E-008 
      17   0.0000       0.0000       0.0000       0.0000     
      18  0.23560E-008 -0.63483E-010 -0.76991E-010  0.23581E-008 
      19  0.23084E-008 -0.28912E-008 -0.26790E-009  0.37094E-008 
      20  0.22609E-008 -0.57924E-008 -0.38528E-009  0.62299E-008 
      21  0.20440E-008 -0.88605E-008 -0.35448E-009  0.91001E-008 
      22  0.18270E-008 -0.11640E-007 -0.61229E-009  0.11798E-007 
      23  0.14496E-008 -0.14264E-007 -0.40924E-009  0.14343E-007 
      24  0.10722E-008 -0.16282E-007 -0.81097E-009  0.16338E-007 
      25  0.53612E-009 -0.17827E-007 -0.43473E-009  0.17841E-007 
      26 -0.65502E-024 -0.18465E-007 -0.96553E-009  0.18490E-007 
      27 -0.53612E-009 -0.17827E-007 -0.43473E-009  0.17841E-007 
      28 -0.10722E-008 -0.16282E-007 -0.81097E-009  0.16338E-007 
      29 -0.14496E-008 -0.14264E-007 -0.40924E-009  0.14343E-007 
      30 -0.18270E-008 -0.11640E-007 -0.61229E-009  0.11798E-007 
      31 -0.20440E-008 -0.88605E-008 -0.35448E-009  0.91001E-008 
      32 -0.22609E-008 -0.57924E-008 -0.38528E-009  0.62299E-008 
      33 -0.23084E-008 -0.28912E-008 -0.26790E-009  0.37094E-008 
      34 -0.23560E-008 -0.63483E-010 -0.76991E-010  0.23581E-008 
      35  0.24669E-008  0.15945E-010 -0.61045E-010  0.24677E-008 
      36  0.24669E-008 -0.27366E-008 -0.23298E-009  0.36917E-008 
      37  0.23141E-008 -0.58010E-008 -0.35260E-009  0.62555E-008 
      38  0.21613E-008 -0.87176E-008 -0.32439E-009  0.89874E-008 
      39  0.18550E-008 -0.11647E-007 -0.58029E-009  0.11808E-007 
      40  0.15488E-008 -0.14118E-007 -0.37818E-009  0.14208E-007 
      41  0.10833E-008 -0.16287E-007 -0.78000E-009  0.16342E-007 
      42  0.61791E-009 -0.17674E-007 -0.40052E-009  0.17690E-007 
      43 -0.44502E-023 -0.18585E-007 -0.92813E-009  0.18609E-007 
      44 -0.61791E-009 -0.17674E-007 -0.40052E-009  0.17690E-007 
      45 -0.10833E-008 -0.16287E-007 -0.78000E-009  0.16342E-007 
      46 -0.15488E-008 -0.14118E-007 -0.37818E-009  0.14208E-007 
      47 -0.18550E-008 -0.11647E-007 -0.58029E-009  0.11808E-007 
      48 -0.21613E-008 -0.87176E-008 -0.32439E-009  0.89874E-008 
      49 -0.23141E-008 -0.58010E-008 -0.35260E-009  0.62555E-008 
      50 -0.24669E-008 -0.27366E-008 -0.23298E-009  0.36917E-008 
      51 -0.24669E-008  0.15945E-010 -0.61045E-010  0.24677E-008 
      52   0.0000       0.0000       0.0000       0.0000     
      53 -0.22961E-009 -0.27715E-008 -0.24705E-009  0.27920E-008 
      54 -0.45922E-009 -0.58337E-008 -0.20349E-009  0.58553E-008 
      55 -0.54053E-009 -0.87477E-008 -0.32680E-009  0.87705E-008 
      56 -0.62184E-009 -0.11679E-007 -0.43280E-009  0.11704E-007 
      57 -0.54587E-009 -0.14149E-007 -0.38293E-009  0.14165E-007 
      58 -0.46990E-009 -0.16318E-007 -0.63500E-009  0.16337E-007 
      59 -0.23495E-009 -0.17709E-007 -0.41288E-009  0.17715E-007 
      60 -0.92385E-023 -0.18464E-007 -0.82587E-009  0.18482E-007 
      61  0.23495E-009 -0.17709E-007 -0.41288E-009  0.17715E-007 
      62  0.46990E-009 -0.16318E-007 -0.63500E-009  0.16337E-007 
      63  0.54587E-009 -0.14149E-007 -0.38293E-009  0.14165E-007 
      64  0.62184E-009 -0.11679E-007 -0.43280E-009  0.11704E-007 
      65  0.54053E-009 -0.87477E-008 -0.32680E-009  0.87705E-008 
      66  0.45922E-009 -0.58337E-008 -0.20349E-009  0.58553E-008 
      67  0.22961E-009 -0.27715E-008 -0.24705E-009  0.27920E-008 
      68   0.0000       0.0000       0.0000       0.0000     
