    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.32720E-009 -0.29251E-008 -0.28208E-009  0.29569E-008 
       3 -0.48948E-009 -0.58232E-008 -0.23619E-009  0.58485E-008 
       4 -0.65176E-009 -0.88880E-008 -0.35701E-009  0.89191E-008 
       5 -0.64986E-009 -0.11669E-007 -0.46483E-009  0.11696E-007 
       6 -0.64796E-009 -0.14291E-007 -0.41411E-009  0.14312E-007 
       7 -0.48782E-009 -0.16310E-007 -0.66615E-009  0.16331E-007 
       8 -0.32768E-009 -0.17859E-007 -0.44906E-009  0.17868E-007 
       9 -0.52693E-023 -0.18507E-007 -0.87238E-009  0.18528E-007 
      10  0.32768E-009 -0.17859E-007 -0.44906E-009  0.17868E-007 
      11  0.48782E-009 -0.16310E-007 -0.66615E-009  0.16331E-007 
      12  0.64796E-009 -0.14291E-007 -0.41411E-009  0.14312E-007 
      13  0.64986E-009 -0.11669E-007 -0.46483E-009  0.11696E-007 
      14  0.65176E-009 -0.88880E-008 -0.35701E-009  0.89191E-008 
      15  0.48948E-009 -0.58232E-008 -0.23619E-009  0.58485E-008 
      16  0.32720E-009 -0.29251E-008 -0.28208E-009  0.29569E-008 
      17   0.0000       0.0000       0.0000       0.0000     
      18  0.23549E-008 -0.63478E-010 -0.77018E-010  0.23570E-008 
      19  0.23074E-008 -0.28902E-008 -0.26800E-009  0.37080E-008 
      20  0.22599E-008 -0.57905E-008 -0.38536E-009  0.62278E-008 
      21  0.20429E-008 -0.88580E-008 -0.35462E-009  0.90974E-008 
      22  0.18260E-008 -0.11637E-007 -0.61246E-009  0.11795E-007 
      23  0.14488E-008 -0.14260E-007 -0.40941E-009  0.14339E-007 
      24  0.10717E-008 -0.16279E-007 -0.81083E-009  0.16334E-007 
      25  0.53583E-009 -0.17824E-007 -0.43415E-009  0.17837E-007 
      26 -0.65553E-024 -0.18467E-007 -0.95884E-009  0.18492E-007 
      27 -0.53583E-009 -0.17824E-007 -0.43415E-009  0.17837E-007 
      28 -0.10717E-008 -0.16279E-007 -0.81083E-009  0.16334E-007 
      29 -0.14488E-008 -0.14260E-007 -0.40941E-009  0.14339E-007 
      30 -0.18260E-008 -0.11637E-007 -0.61246E-009  0.11795E-007 
      31 -0.20429E-008 -0.88580E-008 -0.35462E-009  0.90974E-008 
      32 -0.22599E-008 -0.57905E-008 -0.38536E-009  0.62278E-008 
      33 -0.23074E-008 -0.28902E-008 -0.26800E-009  0.37080E-008 
      34 -0.23549E-008 -0.63478E-010 -0.77018E-010  0.23570E-008 
      35  0.24658E-008  0.15951E-010 -0.61067E-010  0.24667E-008 
      36  0.24658E-008 -0.27356E-008 -0.23307E-009  0.36903E-008 
      37  0.23131E-008 -0.57992E-008 -0.35267E-009  0.62534E-008 
      38  0.21603E-008 -0.87151E-008 -0.32454E-009  0.89847E-008 
      39  0.18539E-008 -0.11644E-007 -0.58041E-009  0.11805E-007 
      40  0.15476E-008 -0.14115E-007 -0.37837E-009  0.14204E-007 
      41  0.10818E-008 -0.16283E-007 -0.78000E-009  0.16338E-007 
      42  0.61598E-009 -0.17668E-007 -0.39888E-009  0.17684E-007 
      43 -0.44520E-023 -0.18572E-007 -0.91922E-009  0.18595E-007 
      44 -0.61598E-009 -0.17668E-007 -0.39888E-009  0.17684E-007 
      45 -0.10818E-008 -0.16283E-007 -0.78000E-009  0.16338E-007 
      46 -0.15476E-008 -0.14115E-007 -0.37837E-009  0.14204E-007 
      47 -0.18539E-008 -0.11644E-007 -0.58041E-009  0.11805E-007 
      48 -0.21603E-008 -0.87151E-008 -0.32454E-009  0.89847E-008 
      49 -0.23131E-008 -0.57992E-008 -0.35267E-009  0.62534E-008 
      50 -0.24658E-008 -0.27356E-008 -0.23307E-009  0.36903E-008 
      51 -0.24658E-008  0.15951E-010 -0.61067E-010  0.24667E-008 
      52   0.0000       0.0000       0.0000       0.0000     
      53 -0.22973E-009 -0.27706E-008 -0.24715E-009  0.27910E-008 
      54 -0.45947E-009 -0.58319E-008 -0.20350E-009  0.58535E-008 
      55 -0.54088E-009 -0.87452E-008 -0.32692E-009  0.87680E-008 
      56 -0.62230E-009 -0.11676E-007 -0.43278E-009  0.11701E-007 
      57 -0.54625E-009 -0.14146E-007 -0.38306E-009  0.14162E-007 
      58 -0.47020E-009 -0.16314E-007 -0.63532E-009  0.16333E-007 
      59 -0.23510E-009 -0.17704E-007 -0.41379E-009  0.17710E-007 
      60 -0.92414E-023 -0.18453E-007 -0.83276E-009  0.18472E-007 
      61  0.23510E-009 -0.17704E-007 -0.41379E-009  0.17710E-007 
      62  0.47020E-009 -0.16314E-007 -0.63532E-009  0.16333E-007 
      63  0.54625E-009 -0.14146E-007 -0.38306E-009  0.14162E-007 
      64  0.62230E-009 -0.11676E-007 -0.43278E-009  0.11701E-007 
      65  0.54088E-009 -0.87452E-008 -0.32692E-009  0.87680E-008 
      66  0.45947E-009 -0.58319E-008 -0.20350E-009  0.58535E-008 
      67  0.22973E-009 -0.27706E-008 -0.24715E-009  0.27910E-008 
      68   0.0000       0.0000       0.0000       0.0000     
